race_id,axis_name,axis_pop,axis_style,pace_label,n_field,axis_score,gap_1_3,axis_pace_fit,pace_style_match,p_win,p_place,actual_rank,hit_win,hit_place
202507020301,フェアリーブルー,1,差し,ミドルスロー,14,0.7150,0.2626,0.6008,0,0.0996,0.2879,1,1,1
202504010702,オプレントジュエル,1,先行,ミドル,15,0.7459,0.2575,0.6536,1,0.1221,0.2879,10,0,0
202510020304,イフウドウドウ,3,差し,ハイ,14,0.7585,0.2086,0.6735,1,0.1174,0.2876,12,0,0
202504030112,ポッドロルフ,7,差し,スロー,12,0.6094,0.0580,0.5471,0,0.0765,0.2876,6,0,0
202608020601,ルファーダ,3,差し,ミドルスロー,10,0.6319,0.2273,0.4944,0,0.0805,0.2874,2,0,1
202506040812,タッカージーティー,7,先行,ミドル,16,0.6849,0.0751,0.7108,1,0.1196,0.2873,7,0,0
202503020708,オプレントジュエル,1,先行,スロー,16,0.7037,0.1267,0.6589,1,0.1136,0.2872,3,0,1
202608010808,プレアデスグループ,5,差し,ミドル,15,0.6835,0.0428,0.5738,0,0.1071,0.2872,12,0,0
202504010711,ゴールドスター,3,先行,スロー,16,0.6165,0.0126,0.6545,1,0.1010,0.2871,3,0,1
202505030109,ニヴルヘイム,5,追い込み,スロー,12,0.6515,0.0231,0.3317,0,0.0785,0.2871,6,0,0
202506030504,ミヤジシャルマン,1,差し,スロー,14,0.5672,0.0268,0.3654,0,0.0958,0.2870,1,1,1
202501010702,サウンドルーチェ,7,差し,ミドル,14,0.6456,0.0670,0.4537,0,0.0863,0.2870,1,1,1
