horse,dist_course,dc_n,dc_wins,dc_wr
アネモス,1200_ダート,2,0,0.0
アネモス,1400_ダート,1,0,0.0
アバンダンス,1000_芝,1,0,0.0
アバンダンス,1200_芝,1,0,0.0
アバンチュリエ,1200_芝,4,0,0.0
アバンチュリエ,1400_ダート,1,0,0.0
アバンチュリエ,1400_芝,5,0,0.0
アバンチュリエ,1600_芝,1,0,0.0
アバンデル,2000_芝,1,0,0.0
アバンデル,2200_芝,1,0,0.0
アバンデル,2400_芝,5,0,0.0
アバンデル,2500_芝,1,0,0.0
アパイシュナール,1700_ダート,2,1,0.5
アパショナード,1200_芝,3,0,0.0
アパショナード,1400_芝,1,0,0.0
アパッシメント,1200_ダート,1,0,0.0
アパッシメント,1400_ダート,1,0,0.0
アパッシメント,1800_ダート,1,0,0.0
アビエルト,1000_芝,1,0,0.0
アビエルト,1400_芝,1,0,0.0
アビッグチア,1000_芝,2,0,0.0
アビッグチア,1200_ダート,1,0,0.0
アビッグチア,1200_芝,3,0,0.0
アピーリングルック,1600_ダート,2,1,0.5
アピーリングルック,1700_ダート,1,0,0.0
アピーリングルック,1800_ダート,4,2,0.5
アピーリングルック,2100_ダート,1,1,1.0
アフィリオン,1200_芝,1,0,0.0
アフィリオン,1400_芝,1,0,0.0
アフィリオン,1800_芝,1,0,0.0
アフトクラーティラ,1200_ダート,2,0,0.0
アフトクラーティラ,1200_芝,1,0,0.0
アフトクラーティラ,1500_芝,1,0,0.0
アフリカンゴールド,2200_芝,1,0,0.0
アブキールベイ,1200_芝,7,2,0.2857142857142857
アブキールベイ,1400_芝,1,0,0.0
アブストゥルース,1800_ダート,1,0,0.0
アブストゥルース,1800_芝,1,0,0.0
アヘッド,1800_ダート,2,0,0.0
アベベ,1200_ダート,1,0,0.0
アベベ,1800_ダート,1,0,0.0
アポロハクジャ,1200_ダート,1,0,0.0
アポロハクジャ,1400_ダート,1,0,0.0
アポロプラネット,1200_ダート,5,0,0.0
アポロプラネット,1400_ダート,2,0,0.0
アポロマインド,1200_芝,1,0,0.0
アポロルタ,1200_ダート,1,0,0.0
アポロルタ,1200_芝,2,1,0.5
アポロルタ,1600_芝,1,0,0.0
アマイ,1800_芝,7,1,0.14285714285714285
アマイ,2000_芝,4,0,0.0
アマイ,2200_芝,1,0,0.0
アマキヒ,2000_芝,1,0,0.0
アマキヒ,2200_芝,1,1,1.0
アマキヒ,2400_芝,2,0,0.0
アマキヒ,3000_芝,1,0,0.0
アマソナ,2000_芝,1,0,0.0
アマソナ,2600_芝,2,0,0.0
アマミツツキ,1600_芝,1,0,0.0
アマルナ,1000_ダート,4,2,0.5
アマルナ,1150_ダート,2,0,0.0
アマルナ,1200_ダート,1,0,0.0
アマルフィー,1200_ダート,1,0,0.0
アマートカヴァロ,1800_ダート,1,0,0.0
アマートカヴァロ,1900_ダート,1,0,0.0
アマートカヴァロ,2400_ダート,1,0,0.0
アムールドパリ,1800_ダート,3,0,0.0
アムールドパリ,2100_ダート,4,3,0.75
アムールリーベ,1200_芝,2,0,0.0
アメアメフレフレ,1200_芝,1,0,0.0
アメジストブラック,2200_芝,1,0,0.0
アメジストブラック,2400_芝,3,0,0.0
アメテュストス,2000_芝,1,1,1.0
アメトリーチェ,1000_芝,1,0,0.0
アメトリーチェ,1200_芝,1,0,0.0
アメリカンエール,1700_ダート,1,0,0.0
アメリカンエール,1800_ダート,3,0,0.0
アメリカンエール,2100_ダート,2,0,0.0
アメリカンステージ,1200_ダート,1,0,0.0
アメリカンステージ,1200_芝,1,1,1.0
アメリカンチケット,1200_ダート,2,1,0.5
アメリカンチーフ,1400_ダート,1,0,0.0
アメリカンチーフ,1700_ダート,1,0,0.0
アメリカンチーフ,1800_ダート,1,0,0.0
アメリカンビキニ,1200_ダート,2,2,1.0
アメリカンビキニ,1200_芝,2,0,0.0
アメリカンビキニ,1400_ダート,2,1,0.5
アメリカンビキニ,1400_芝,1,0,0.0
アメリカンビヨンド,1400_ダート,1,0,0.0
アメリカンポリス,1400_ダート,2,1,0.5
アメリカンマーチ,1000_ダート,1,0,0.0
アメリカンマーチ,1150_ダート,2,0,0.0
アメリカンマーチ,1200_ダート,1,0,0.0
アメリカンランナー,1800_ダート,1,0,0.0
アメージング,1700_ダート,1,0,0.0
アメージング,1800_ダート,1,0,0.0
アライバル,1600_芝,1,0,0.0
アラカザーム,1400_ダート,2,0,0.0
アラカザーム,1400_芝,1,0,0.0
アラクレ,1200_芝,5,0,0.0
アラゴナイト,1200_ダート,2,0,0.0
アラタ,2000_芝,6,1,0.16666666666666666
アラタ,2200_芝,1,0,0.0
アラタ,2500_芝,1,0,0.0
アラタ,3200_芝,1,0,0.0
アラタマフェーヴル,1800_芝,4,0,0.0
アラタマフェーヴル,2200_芝,1,0,0.0
アラナコア,1600_ダート,1,0,0.0
アラナコア,1800_ダート,1,1,1.0
アラナコア,2200_芝,1,0,0.0
アラナコア,2400_芝,1,0,0.0
アラベラ,2000_芝,1,0,0.0
アララララ,1200_芝,5,0,0.0
アラレタバシル,1600_ダート,1,0,0.0
アラレタバシル,1700_ダート,1,0,0.0
アラレタバシル,1800_ダート,7,1,0.14285714285714285
アラレタバシル,1900_ダート,2,0,0.0
アラレタバシル,2100_ダート,1,0,0.0
アランカール,1600_芝,1,1,1.0
アランチャータ,1200_ダート,1,0,0.0
アランヴェリテ,1600_芝,3,0,0.0
アランヴェリテ,1800_芝,1,0,0.0
アランヴェリテ,2000_芝,1,0,0.0
アリエスキング,1800_ダート,3,0,0.0
アリオーンスマイル,1200_芝,1,0,0.0
アリオーンスマイル,1600_芝,1,0,0.0
アリオーンスマイル,2000_芝,1,0,0.0
アリストクラシア,1800_ダート,2,1,0.5
アリストクラシア,2000_芝,1,0,0.0
アリストテレス,1600_芝,1,0,0.0
アリストテレス,1800_芝,1,0,0.0
アリストテレス,2000_芝,1,0,0.0
アリストロシュ,2000_芝,1,0,0.0
アリスヴェリテ,1600_芝,1,0,0.0
アリスヴェリテ,1800_芝,2,0,0.0
アリスヴェリテ,2000_芝,6,3,0.5
アリュシナシオン,1200_ダート,2,0,0.0
アリーチェ,1600_芝,1,0,0.0
アリーチェ,1800_芝,1,0,0.0
アリーチェ,2000_芝,1,0,0.0
アルカディアカフェ,1600_ダート,1,0,0.0
アルゲンテウス,1500_芝,1,0,0.0
アルゲンテウス,1600_芝,4,0,0.0
アルゲンテウス,1800_芝,4,0,0.0
アルゴナヴィス,1600_ダート,2,0,0.0
アルゴナヴィス,1800_ダート,1,0,0.0
アルシオーネ,1400_ダート,2,0,0.0
アルシオーネ,1700_ダート,1,0,0.0
アルシミスト,2400_芝,1,0,0.0
アルジェンタージョ,1200_ダート,2,0,0.0
アルジェンタージョ,1400_ダート,2,0,0.0
アルジーヌ,1600_芝,4,3,0.75
アルジーヌ,1800_芝,5,4,0.8
アルスマグナ,1200_芝,1,0,0.0
アルスマグナ,1600_芝,1,0,0.0
アルセナール,1600_芝,6,2,0.3333333333333333
アルセナール,1800_芝,1,0,0.0
アルタビスタ,1400_ダート,1,0,0.0
